               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.03867,            0.011102,            0.027821,             0.18509,             0.98333,             0.49755,             0.34889,            0.017993,           0.0056741,             0.02094,           0.0094775,           0.0094775,           0.0094775
                  60,            0.036912,            0.012634,            0.027864,             0.17653,             0.99721,               0.491,             0.27413,            0.019617,           0.0047188,            0.021228,           0.0094685,           0.0094685,           0.0094685
                  61,            0.038017,            0.013698,             0.02783,             0.19089,             0.85833,             0.48024,             0.33919,            0.016662,           0.0055133,            0.020967,           0.0094595,           0.0094595,           0.0094595
                  62,            0.035039,             0.01155,             0.02729,             0.23767,             0.94169,             0.52924,             0.36066,            0.016823,           0.0044128,            0.020598,           0.0094505,           0.0094505,           0.0094505
                  63,            0.036262,            0.012549,            0.026812,             0.39393,             0.64249,             0.47015,             0.34906,             0.01223,           0.0047736,            0.020337,           0.0094414,           0.0094414,           0.0094414
                  64,            0.032074,            0.011378,                0.03,             0.47778,             0.72229,             0.48695,              0.3545,             0.01281,           0.0044259,             0.02003,           0.0094324,           0.0094324,           0.0094324
                  65,            0.031641,            0.011701,            0.028623,             0.29096,             0.96667,             0.50731,             0.40797,            0.011432,           0.0032489,            0.019544,           0.0094234,           0.0094234,           0.0094234
                  66,            0.032241,            0.011356,             0.02863,             0.47158,              0.8332,             0.45608,             0.33212,            0.011132,           0.0032646,            0.019428,           0.0094144,           0.0094144,           0.0094144
                  67,            0.033975,            0.013547,            0.029601,             0.42508,             0.83333,             0.47331,             0.34796,            0.012978,           0.0033167,             0.01962,           0.0094054,           0.0094054,           0.0094054
                  68,            0.030355,            0.010424,            0.029549,             0.44317,             0.78397,             0.42317,             0.28104,            0.014904,           0.0032664,            0.019281,           0.0093964,           0.0093964,           0.0093964
                  69,             0.03319,            0.013556,            0.028675,             0.41588,             0.93333,             0.52875,             0.39998,            0.010382,            0.003095,            0.019552,           0.0093874,           0.0093874,           0.0093874
                  70,            0.030474,            0.011901,            0.027796,             0.50795,             0.90866,             0.66821,             0.50312,            0.015713,           0.0028134,            0.019803,           0.0093784,           0.0093784,           0.0093784
                  71,            0.029875,             0.01163,            0.027545,             0.47411,             0.95563,             0.56186,               0.384,             0.01349,           0.0027596,            0.019878,           0.0093694,           0.0093694,           0.0093694
                  72,            0.030991,            0.011144,             0.02697,             0.33006,                   1,             0.55557,             0.43074,            0.011573,           0.0029991,            0.020094,           0.0093604,           0.0093604,           0.0093604
                  73,            0.028882,            0.010512,            0.027476,             0.44366,              0.8583,             0.53644,              0.3234,            0.015757,            0.003266,            0.020927,           0.0093514,           0.0093514,           0.0093514
                  74,            0.030995,            0.011806,            0.026885,             0.30428,                   1,              0.6138,             0.45992,            0.012151,           0.0034022,            0.021147,           0.0093423,           0.0093423,           0.0093423
                  75,             0.03161,            0.012385,            0.027894,             0.55244,                 0.8,             0.68042,             0.56033,            0.010068,           0.0028356,            0.021028,           0.0093333,           0.0093333,           0.0093333
                  76,            0.026739,           0.0082487,            0.027258,             0.87131,             0.47917,             0.68976,             0.55378,            0.011284,           0.0027973,            0.020303,           0.0093243,           0.0093243,           0.0093243
                  77,            0.030732,            0.013414,            0.029506,             0.37805,             0.95833,              0.5778,             0.46647,            0.010971,           0.0027559,            0.019885,           0.0093153,           0.0093153,           0.0093153
                  78,              0.0284,            0.010414,            0.027314,             0.33187,             0.95905,             0.59615,             0.45171,             0.01279,           0.0028459,            0.019548,           0.0093063,           0.0093063,           0.0093063
                  79,            0.029883,           0.0096379,            0.027784,             0.36626,             0.91667,             0.62933,             0.52039,            0.010415,           0.0028244,            0.019584,           0.0092973,           0.0092973,           0.0092973
                  80,            0.027312,            0.010405,            0.027152,             0.54065,             0.78525,             0.69506,             0.49335,            0.012539,           0.0037761,            0.019648,           0.0092883,           0.0092883,           0.0092883
                  81,            0.029783,            0.012333,            0.026227,             0.46748,             0.83333,             0.55481,             0.45192,           0.0091588,           0.0027599,            0.019271,           0.0092793,           0.0092793,           0.0092793
                  82,            0.027044,           0.0091303,            0.025904,             0.36413,             0.96667,             0.59698,             0.47824,            0.010458,           0.0027056,            0.020282,           0.0092703,           0.0092703,           0.0092703
                  83,            0.028319,            0.012389,            0.026324,             0.37402,              0.9987,             0.59973,             0.42516,             0.01249,           0.0027591,            0.020498,           0.0092613,           0.0092613,           0.0092613
                  84,            0.029108,             0.01022,             0.02696,             0.68052,             0.66667,             0.61308,             0.45241,            0.012636,           0.0031732,             0.02023,           0.0092523,           0.0092523,           0.0092523
                  85,             0.02834,            0.011143,            0.027516,             0.55044,              0.7527,             0.53607,             0.41498,           0.0098138,           0.0027986,            0.020003,           0.0092432,           0.0092432,           0.0092432
                  86,            0.027988,             0.01215,            0.026145,             0.53848,             0.76667,              0.5786,              0.3653,            0.017162,           0.0026684,            0.019883,           0.0092342,           0.0092342,           0.0092342
                  87,            0.027234,           0.0097668,            0.025371,             0.55257,              0.7984,             0.75094,             0.57988,            0.012996,           0.0032773,            0.019778,           0.0092252,           0.0092252,           0.0092252
                  88,            0.030248,            0.012953,            0.025455,             0.54776,             0.76667,             0.60575,             0.45058,            0.012053,           0.0025973,            0.019715,           0.0092162,           0.0092162,           0.0092162
                  89,            0.028542,            0.012082,            0.026538,             0.27955,                   1,              0.5599,             0.43529,            0.010931,           0.0027226,            0.019957,           0.0092072,           0.0092072,           0.0092072
                  90,            0.025602,           0.0092256,            0.026318,             0.72311,             0.64583,             0.69923,             0.53239,            0.011219,           0.0026338,            0.019684,           0.0091982,           0.0091982,           0.0091982
                  91,             0.02795,           0.0097684,            0.027246,             0.55852,             0.76667,             0.69231,             0.57672,           0.0088791,           0.0026028,            0.019394,           0.0091892,           0.0091892,           0.0091892
                  92,            0.025973,            0.010019,             0.02601,             0.39378,             0.99408,             0.60577,              0.4644,            0.010342,           0.0027636,            0.019771,           0.0091802,           0.0091802,           0.0091802
                  93,            0.026363,           0.0091517,            0.025869,             0.61292,             0.76667,              0.6253,             0.51225,           0.0089243,           0.0025633,            0.019403,           0.0091712,           0.0091712,           0.0091712
                  94,            0.025857,            0.011123,            0.025679,             0.51013,             0.81667,             0.62697,             0.47106,            0.010827,           0.0024765,            0.019087,           0.0091622,           0.0091622,           0.0091622
                  95,            0.027748,            0.010621,            0.024913,             0.47669,             0.96667,             0.70105,             0.58055,           0.0096864,           0.0025463,            0.018756,           0.0091532,           0.0091532,           0.0091532
                  96,            0.026572,            0.011666,            0.024946,             0.38979,             0.90044,             0.58623,             0.48113,           0.0093908,           0.0025877,            0.018723,           0.0091441,           0.0091441,           0.0091441
                  97,            0.025653,           0.0096349,            0.026305,             0.69539,             0.66643,             0.66838,             0.56378,            0.009757,            0.002607,            0.018632,           0.0091351,           0.0091351,           0.0091351
                  98,            0.026254,            0.011904,            0.029143,             0.32586,             0.99536,             0.62216,              0.5035,                0.01,           0.0025308,            0.018383,           0.0091261,           0.0091261,           0.0091261
                  99,             0.02637,            0.011074,            0.027619,             0.43848,             0.93333,             0.66702,             0.54279,           0.0097937,           0.0024075,            0.018467,           0.0091171,           0.0091171,           0.0091171
                 100,            0.024301,           0.0073796,            0.025731,             0.44449,                   1,             0.59951,              0.4961,           0.0093156,           0.0025042,             0.01824,           0.0091081,           0.0091081,           0.0091081
                 101,            0.026138,           0.0078839,            0.025802,              0.3727,              0.9468,             0.60287,             0.44523,            0.011775,           0.0026501,            0.018542,           0.0090991,           0.0090991,           0.0090991
                 102,            0.025696,           0.0089687,            0.025299,             0.48066,             0.92837,             0.60595,             0.51199,           0.0083384,           0.0026357,            0.018671,           0.0090901,           0.0090901,           0.0090901
                 103,            0.024843,           0.0085774,            0.024338,             0.36189,             0.97917,              0.6414,             0.49402,            0.010716,           0.0024457,            0.018599,           0.0090811,           0.0090811,           0.0090811
                 104,            0.024691,           0.0089294,            0.025236,             0.55854,             0.83333,             0.78736,             0.62583,           0.0098637,           0.0024997,            0.018722,           0.0090721,           0.0090721,           0.0090721
                 105,            0.025597,           0.0081702,            0.026115,             0.69467,             0.74693,             0.81543,             0.65958,           0.0091879,           0.0024157,            0.018412,           0.0090631,           0.0090631,           0.0090631
                 106,            0.023937,           0.0081748,            0.026034,             0.47754,             0.87981,             0.62954,             0.49457,            0.010942,           0.0024554,             0.01785,           0.0090541,           0.0090541,           0.0090541
