               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.026135,           0.0084609,            0.012452,             0.72081,             0.16667,            0.058914,            0.036205,            0.025396,           0.0059883,            0.015554,            0.009027,            0.009027,            0.009027
                 110,            0.028077,           0.0077889,            0.014275,             0.73415,             0.42734,             0.58647,             0.33856,            0.025574,           0.0052491,           0.0072066,            0.009018,            0.009018,            0.009018
                 111,            0.025734,           0.0079609,            0.014055,             0.94844,             0.79535,             0.96183,             0.74534,            0.016325,           0.0019461,           0.0049595,            0.009009,            0.009009,            0.009009
                 112,            0.027501,           0.0092525,            0.013335,             0.71375,                   1,             0.96183,             0.76876,            0.012244,           0.0018058,           0.0049319,               0.009,               0.009,               0.009
                 113,             0.02644,           0.0082097,            0.013406,             0.77076,             0.99182,             0.96183,             0.79324,             0.01381,            0.001965,           0.0045928,            0.008991,            0.008991,            0.008991
                 114,            0.028055,           0.0083352,            0.010531,             0.78295,             0.94282,             0.96183,             0.81607,             0.01295,           0.0021621,            0.004513,            0.008982,            0.008982,            0.008982
                 115,            0.027106,           0.0083224,            0.011302,             0.78699,                   1,             0.92004,             0.76024,            0.011937,           0.0018225,           0.0041373,            0.008973,            0.008973,            0.008973
                 116,            0.026705,           0.0079258,            0.014078,             0.90174,                 0.8,             0.89702,             0.74926,           0.0096294,           0.0016912,           0.0045632,            0.008964,            0.008964,            0.008964
                 117,             0.02442,           0.0083008,            0.013187,             0.77257,               0.828,             0.87436,             0.65945,            0.013433,           0.0021023,           0.0056511,            0.008955,            0.008955,            0.008955
                 118,             0.02454,            0.007557,              0.0123,             0.68066,             0.64679,             0.60244,             0.46029,            0.018015,           0.0033236,            0.024194,           0.0089459,           0.0089459,           0.0089459
                 119,            0.027758,           0.0081328,           0.0086602,             0.62808,                   1,             0.85679,             0.69892,            0.011489,           0.0018625,           0.0043785,           0.0089369,           0.0089369,           0.0089369
                 120,            0.026889,           0.0078596,            0.013636,             0.52078,             0.97741,             0.80894,             0.63764,            0.014446,           0.0019229,           0.0082519,           0.0089279,           0.0089279,           0.0089279
                 121,            0.026799,           0.0082476,            0.014184,             0.65895,             0.98667,             0.93876,             0.77144,           0.0096523,           0.0017959,           0.0060383,           0.0089189,           0.0089189,           0.0089189
                 122,            0.025068,             0.00784,            0.012651,             0.72125,                   1,             0.96081,             0.68373,            0.012768,           0.0018215,           0.0051415,           0.0089099,           0.0089099,           0.0089099
                 123,            0.026401,           0.0082039,            0.011948,             0.97225,             0.65367,             0.89727,             0.74228,            0.012086,           0.0018824,           0.0056244,           0.0089009,           0.0089009,           0.0089009
                 124,            0.025415,           0.0078302,            0.010682,             0.87718,             0.75481,             0.95981,             0.80213,            0.010324,           0.0018788,           0.0056611,           0.0088919,           0.0088919,           0.0088919
                 125,            0.025585,           0.0084755,            0.011945,             0.94211,             0.83333,             0.96183,             0.80017,            0.012201,           0.0016754,           0.0041419,           0.0088829,           0.0088829,           0.0088829
                 126,            0.027494,            0.008066,            0.010915,             0.63205,             0.98631,             0.96183,             0.81308,            0.011108,           0.0016454,           0.0045706,           0.0088739,           0.0088739,           0.0088739
                 127,             0.02737,           0.0076768,           0.0090472,             0.91728,             0.93152,              0.9477,             0.75426,            0.011142,           0.0016478,           0.0035015,           0.0088649,           0.0088649,           0.0088649
                 128,            0.027834,           0.0078033,            0.010986,             0.83275,             0.96667,             0.92077,             0.77041,           0.0088267,           0.0016514,           0.0035762,           0.0088559,           0.0088559,           0.0088559
                 129,            0.024845,           0.0076536,            0.011576,             0.94094,             0.92377,             0.94475,             0.77033,             0.01108,           0.0017348,           0.0037767,           0.0088468,           0.0088468,           0.0088468
                 130,            0.026208,           0.0079186,            0.011076,             0.78842,                   1,             0.91371,             0.71981,            0.010958,           0.0018186,           0.0036192,           0.0088378,           0.0088378,           0.0088378
                 131,            0.026712,           0.0077698,           0.0094968,             0.78203,                   1,             0.96183,             0.79439,            0.011879,           0.0018447,           0.0047591,           0.0088288,           0.0088288,           0.0088288
                 132,            0.026129,           0.0078756,            0.010782,             0.67389,             0.99123,             0.87174,             0.47009,            0.021131,           0.0039576,           0.0048656,           0.0088198,           0.0088198,           0.0088198
                 133,            0.024908,           0.0085577,            0.011249,             0.68991,                   1,             0.86124,             0.69183,            0.014262,            0.001732,           0.0041518,           0.0088108,           0.0088108,           0.0088108
                 134,            0.025486,           0.0072364,            0.011392,             0.79019,                   1,             0.86233,             0.72883,            0.010588,           0.0015452,           0.0046797,           0.0088018,           0.0088018,           0.0088018
                 135,            0.027057,           0.0074426,           0.0085743,             0.65219,                   1,             0.87261,             0.69995,            0.012396,           0.0016458,           0.0058398,           0.0087928,           0.0087928,           0.0087928
                 136,            0.024797,           0.0075372,           0.0091364,              0.7672,             0.97258,             0.90998,             0.75985,            0.015623,             0.00174,           0.0057534,           0.0087838,           0.0087838,           0.0087838
                 137,            0.025914,           0.0075684,             0.00977,             0.66191,             0.98735,             0.89733,              0.6791,            0.012252,           0.0015579,           0.0055134,           0.0087748,           0.0087748,           0.0087748
                 138,            0.022767,           0.0074402,            0.012005,             0.88112,             0.73333,             0.91183,             0.73179,           0.0098629,           0.0020207,           0.0060181,           0.0087658,           0.0087658,           0.0087658
                 139,             0.02547,           0.0082975,            0.011572,             0.97301,             0.76667,             0.92102,              0.7027,            0.010303,           0.0019552,           0.0055504,           0.0087568,           0.0087568,           0.0087568
                 140,            0.025971,           0.0076074,            0.010921,              0.9692,                 0.8,             0.94702,             0.72049,            0.011685,           0.0017577,           0.0052024,           0.0087477,           0.0087477,           0.0087477
                 141,            0.023795,           0.0085977,            0.010507,             0.78839,             0.58231,             0.69305,             0.45394,            0.017194,           0.0037373,           0.0061142,           0.0087387,           0.0087387,           0.0087387
                 142,            0.026542,           0.0077186,            0.011917,             0.96346,                 0.8,             0.97308,             0.63436,            0.015665,            0.001637,           0.0044035,           0.0087297,           0.0087297,           0.0087297
                 143,            0.027709,           0.0080354,           0.0092088,             0.71653,             0.98333,             0.94795,             0.66656,            0.016287,           0.0015325,           0.0044516,           0.0087207,           0.0087207,           0.0087207
                 144,            0.024579,           0.0077401,            0.010678,             0.76673,                   1,             0.98174,             0.77818,           0.0097599,           0.0019636,           0.0051874,           0.0087117,           0.0087117,           0.0087117
                 145,            0.026906,           0.0085074,           0.0087012,             0.66779,             0.98611,             0.92118,             0.70803,            0.013467,           0.0019827,           0.0057171,           0.0087027,           0.0087027,           0.0087027
                 146,            0.023387,            0.007431,            0.010509,             0.78649,             0.99167,             0.99141,             0.81774,            0.010893,            0.001478,           0.0044325,           0.0086937,           0.0086937,           0.0086937
                 147,            0.028351,           0.0081993,           0.0068831,             0.80109,             0.83333,             0.89059,             0.68789,            0.014189,           0.0014622,           0.0052268,           0.0086847,           0.0086847,           0.0086847
                 148,            0.027935,           0.0081807,           0.0085205,             0.77319,             0.66667,             0.95783,             0.63005,            0.015383,           0.0028346,           0.0087999,           0.0086757,           0.0086757,           0.0086757
                 149,             0.02597,           0.0081077,           0.0079573,             0.68716,                   1,             0.93394,             0.77329,           0.0095158,            0.001638,           0.0051881,           0.0086667,           0.0086667,           0.0086667
                 150,             0.02394,           0.0078098,           0.0097253,             0.66904,             0.99974,             0.94116,             0.77459,            0.013913,           0.0016357,           0.0055129,           0.0086577,           0.0086577,           0.0086577
                 151,            0.023477,           0.0074383,           0.0099348,             0.82452,             0.98358,             0.97978,              0.8327,            0.013021,            0.001652,            0.003495,           0.0086486,           0.0086486,           0.0086486
                 152,            0.025205,           0.0080334,           0.0087439,             0.72787,             0.99986,             0.92555,             0.79275,           0.0094486,           0.0016147,           0.0049548,           0.0086396,           0.0086396,           0.0086396
